Height,Width,Thickness,Efficiency,Cleaned Efficiency,Model,N/A,N/A,N/A,Power output
1580,1060,45,--,--,YD-210M-250M,NaN,NaN,,0
1480,680,35,--,--,MAX-M140M,NaN,NaN,,0
570,540,2.5,--,--,Flexible Solar Panel 50W,NaN,NaN,,0
1640,992,35,0.1567,15.67,RG255P6,NaN,NaN,,0
1665,991,35,15.2 ~ 17.6 ,17.6,SM250-290A,NaN,NaN,,0
1670,992,35,17.2 ~ 17.8 ,17.8,Superpoly STP285-295 - 20/Wfh,NaN,NaN,,0
1670,992,35,17.2 ~ 17.8 ,17.8,Mono 75-80,NaN,NaN,,0
1015,670,25,--,--,SPM-80-100PB301,NaN,NaN,,0
1956,992,40,16.2 ~ 17.8 ,17.8,ECS-315-345M72,NaN,NaN,,0
1640,992,40,0.166,16.6,SG270P,NaN,NaN,,0
1956,992,40,16 ~ 16.5 ,16.5,XT-Poly-310-320,NaN,NaN,,0
1580,808,40,14.5 ~ 16 ,16,LM185-205-72M,NaN,NaN,,0
1150,990,35,--,--,SUN170P-24,NaN,NaN,,0
290,180,17,--,--,RS005W(P),NaN,NaN,,0
1482,992,50,15.3 ~ 16.32 ,16.32,HTM240P-54,NaN,NaN,,0
1956,990,50,--,--,CNSDPV260-300(24)S,NaN,NaN,,0
1465,986,35,15.2 ~ 15.9 ,15.9,Pallas 215-225 TP3 MBW,NaN,NaN,,0
1640,992,35,15.4 ~ 17.5 ,17.5,CE-250~285P60 All-black,NaN,NaN,,0
1635,840,38,--,--,LVS 190,NaN,NaN,,0
58,58,2.8,--,--,TS-ES2V0.13W,NaN,NaN,,0
1480,680,35,--,--,Poly 150W,NaN,NaN,,0
1666,992,40,0.1634,16.34,Power-Plus-60 KPV PE NEC 270 Wp poly,NaN,NaN,,0
1965,992,50,13.3 ~ 14.4 ,14.4,FUDA-260M-280M,NaN,NaN,,0
67.5,56.5,2.2,--,--,TS-PS5V0.50W,NaN,NaN,,0
150,70,4,--,--,1.5W 6V Monocrystalline Solar Panel,NaN,NaN,,0
1650,990,5,--,--,AS 200/60 Black Laminate,NaN,NaN,,0
1956,992,40,15.5 ~ 16.5 ,16.5,AS-P721D,NaN,NaN,,0
1120,680,35,--,--,MSP110-18M,NaN,NaN,,0
1200,550,40,--,--,SPV90P,NaN,NaN,,0
1650,992,35,0.168,16.8,STP275 - 20/Wfm-JP,NaN,NaN,,0
963,808,35,--,--,Polycrystalline Series 110W,NaN,NaN,,0
1652,986,null,0.16,16,Traditional Modules Mono,NaN,NaN,,0
1682,864,35,15.1 ~ 15.5 ,15.5,Integration 220-225 M50 black,NaN,NaN,,0
1956,992,35,0.1675,16.75,NES72-6-325P,NaN,NaN,,0
1480,670,35,12.94 ~ 14.93 ,14.93,P130-150W 156 Poly Cells,NaN,NaN,,0
1640,992,40,15.98 ~ 17.1 ,17.1,MS604P 260-280W,NaN,NaN,,0
1691,1017,32,14.53 ~ 15.11 ,15.11,X-ARCH XP60/156I(B)+SR 250-260 Wp,NaN,NaN,,0
238,238,2.2,--,--,TS-PS18V4.77W,NaN,NaN,,0
1664,996,40,16.9 ~ 18.1 ,18.1,LR6-60DG 280-300,NaN,NaN,,0
125,135,4.5,--,--,5V 2.3W Solar Panel, Monocrystalline,NaN,,0
1682,864,35,14.5 ~ 14.8 ,14.8,Integration 210-215 P50 black,NaN,NaN,,0
1664,998,20,16.86 ~ 17.76 ,17.76,Dual Glass Mono/280-295W,NaN,NaN,,0
1326,666,34,--,--,SS-125(12V),NaN,NaN,,0
100,50,4.5,--,--,5V 0.5W Small Solar Panel , Monocryst...,NaN,,0
1662,990,46,0.158,15.8,KT260-6GC-A,NaN,NaN,,0
780,670,30,--,--,P6-70-75,NaN,NaN,,0
780,670,30,--,--,RD290-320TU-36P,NaN,NaN,,0
870,665,30,--,--,Mono 85-95,NaN,NaN,,0
1954,990,38,0.1473,14.73,HS-PB1/285,NaN,NaN,,0
1640,990,35,17 ~ 19 ,19,LE18M290-310,NaN,NaN,,0
1195,541,35,--,--,YB125M36-100W,NaN,NaN,,0
1580,1065,50,14.7 ~ 16.1 ,16.1,SM596-245-270,NaN,NaN,,0
1968,992,6,17.42 ~ 18.44 ,18.44,HTM360DM5-72,NaN,NaN,,0
638,276,25,--,--,TYM-18-30W,NaN,NaN,,0
180,150,4.5,--,--,6V 3.6W Poly Solar Panel Frameless,NaN,NaN,,0
1640,992,35,15.67 ~ 16.9 ,16.9,SL255-275TU-30MDBK,NaN,NaN,,0
1485,992,40,13.26 ~ 14.28 ,14.28,Poly 195-210W 27V,NaN,NaN,,0
1956,992,50,14.9 ~ 16.5 ,16.5,ESP 290W-320W,NaN,NaN,,0
1956,992,40,17.5 ~ 19.3 ,19.3,FS340-375M6-72P,NaN,NaN,,0
1654,989,40,17.73 ~ 18.65 ,18.65,PENTA Premium ASM6610M(BL),NaN,NaN,,0
1636,986,35,14.6 ~ 16.1 ,16.1,GSP60(BK),NaN,NaN,,0
1480,670,35,13.1 ~ 15.6 ,15.6,PR-130-155P6-36,NaN,NaN,,0
1640,992,40,14.47 ~ 15.71 ,15.71,Mono 235-255W,NaN,NaN,,0
1956,992,40,16.7 ~ 17.3 ,17.3,FY325-335S-24-Vd,NaN,NaN,,0
490,290,25,--,--,KL-15W-M,NaN,NaN,,0
1640,992,40,15.4 ~ 16.3 ,16.3,SRP-250-265-6PB,NaN,NaN,,0
1170,990,35,--,--,JJ-180D,NaN,NaN,,0
1170,990,35,--,--,Diamond PV Modules with X Factor 40-2...,NaN,NaN,,0
1956,992,40,15.7 ~ 17 ,17,A-305-330P GSE (BS),NaN,NaN,,0
666,652,35,--,--,SIP 60,NaN,NaN,,0
666,652,35,--,--,Mono 100-120,NaN,NaN,,0
1700,1000,35,17.4 ~ 18.2 ,18.2,Excellent 295-310 PERC60,NaN,NaN,,0
1340,668,35,0.1396,13.96,SL125TU-18MD,NaN,NaN,,0
1340,668,35,0.1396,13.96,PNX-100-120,NaN,NaN,,0
90,78,3,--,--,VSE-1W,NaN,NaN,,0
180,150,18,--,--,Small Poly TDC-P3-12,NaN,NaN,,0
180,150,18,--,--,Mono 40,NaN,NaN,,0
180,150,18,--,--,GSM6-36-180W~GSM5-72-210W,NaN,NaN,,0
1490,665,38,--,--,LVS 140,NaN,NaN,,0
1658,992,6,16.11 ~ 17.02 ,17.02,DMG280P6-60XT,NaN,NaN,,0
1150,666,35,--,--,BL100M-115M-12,NaN,NaN,,0
1480,680,35,--,--,MAX-M130P,NaN,NaN,,0
1956,992,40,0.1546,15.46,QJP 300W,NaN,NaN,,0
1960,992,40,18.52 ~ 19.29 ,19.29,DM365-M156-72,NaN,NaN,,0
1630,982,35,15.62 ~ 16.56 ,16.56,Multi 250-265 ME-V01,NaN,NaN,,0
1630,982,35,15.62 ~ 16.56 ,16.56,RD90TU-18MD,NaN,NaN,,0
290,185,18,--,--,Small Poly TDC-P5-36,NaN,NaN,,0
1172,660,70,--,--,Poly Folding TDC-F220P,NaN,NaN,,0
1650,990,50,13.8 ~ 15.3 ,15.3,KM225-250(6) (Black),NaN,NaN,,0
1970,990,38,0.19,19,SLA-M 370W,NaN,NaN,,0
700,510,30,--,--,ESF-50PA,NaN,NaN,,0
1968,992,null,14.85 ~ 16.65 ,16.65,CYDP4-72 290-325W,NaN,NaN,,0
185,185,25,--,--,3W Solar Panel, 12V,NaN,,0
185,185,25,--,--,S-80~90-36-1,NaN,NaN,,0
185,185,25,--,--,OS-M72 200/300W,NaN,NaN,,0
1486,982,36,--,--,54Cells TSE 200-220,NaN,NaN,,0
1474,674,35,12.4 ~ 14.4 ,14.4,FUDA-125M-145M,NaN,NaN,,0
2983,372,21,17.62 ~ 18.76 ,18.76,FX36L,NaN,NaN,,0
1652,990,50,14 ~ 15 ,15,60 Cell Poly 230w-245w,NaN,NaN,,0
1305,985,35,0.14,14,EC Series 180W-2,NaN,NaN,,0
1200,540,35,13.1 ~ 16.2 ,16.2,PR-105M5-36,NaN,NaN,,0
1482,680,35,--,--,M36PCS 130-145,NaN,NaN,,0
80,45,2.7,--,--,1V 450mA  solar panel,NaN,NaN,,0
1956,991,40,17.28 ~ 18.06 ,18.06,Perc DHP72,NaN,NaN,,0
1640,992,35,15.7 ~ 16.3 ,16.3,FY255-265-20/Wd,NaN,NaN,,0
1640,992,35,15.7 ~ 16.3 ,16.3,LE Series,NaN,NaN,,0
340,280,4.6,--,--,VSG-13W,NaN,NaN,,0
340,280,4.6,--,--,6V 160mA OEM Solar Panel,NaN,NaN,,0
1632,995,50,12.9 ~ 14.2 ,14.2,ATI-200 Series,NaN,NaN,,0
1485,992,50,--,--,XNXP210-27,NaN,NaN,,0
1956,992,45,15.1 ~ 16.6 ,16.6,Poly-72,NaN,NaN,,0
1640,992,35,15.9 ~ 16.8 ,16.8,INE-260-275-6MB,NaN,NaN,,0
1580,808,35,14.1 ~ 17.2 ,17.2,IR180M-220M-72,NaN,NaN,,0
1664,998,25,0.179,17.9,Chinese Tier One 285W Mono & Poly  PV...,NaN,NaN,,0
1640,992,50,--,--,SM210-280M,NaN,NaN,,0
1658,992,6,16.6 ~ 17.5 ,17.5,LN260P6DGW(255-270W Poly),NaN,NaN,,0
1957,992,40,--,--,KS260-310P-72,NaN,NaN,,0
1950,990,40,--,--,SP330W-36V,NaN,NaN,,0
1482,992,40,15.64 ~ 16.67 ,16.67,HTM245M-54,NaN,NaN,,0
1650,992,35,16.19 ~ 17.11 ,17.11,DM280-P156-60,NaN,NaN,,0
970,540,35,--,--,Small Mono TDC-M70-80-36,NaN,NaN,,0
1657,977,39.5,0.1575,15.75,KS-255B,NaN,NaN,,0
845,541,30,--,--,SSM-50-60M,NaN,NaN,,0
1340,990,35,15.89 ~ 17.4 ,17.4,SFTI72P (200-230),NaN,NaN,,0
1320,540,40,--,--,M120,NaN,NaN,,0
1580,1062,50,13.7 ~ 14.9 ,14.9,HN96M-230-250,NaN,NaN,,0
110,110,2.2,--,--,TS-PS6V1.20W,NaN,NaN,,0
1196,541,35,--,--,SFP 75W-85W,NaN,NaN,,0
1950,1040,6,16.8 ~ 17.8 ,17.8,PANDA BIFACIAL 144HCL,NaN,NaN,,0
670,540,25,--,--,GSPV50P,NaN,NaN,,0
1320,990,50,--,--,SM150-180P,NaN,NaN,,0
1659.5,988,40,15 ~ 16.2 ,16.2,2XX-ME60,NaN,NaN,,0
1640,1000,35,0.183,18.3,Sola Cube PowerL,NaN,NaN,,0
1960,998,40,15.8 ~ 16.4 ,16.4,HiS-M310-320RI,NaN,NaN,,0
1956,992,50,14.7 ~ 16 ,16,LSP672,NaN,NaN,,0
1644,992,35,15.94 ~ 16.56 ,16.56,SS-BP Series,NaN,NaN,,0
1956,992,45,16.49 ~ 17.52 ,17.52,ZDNY-320C72-340C72,NaN,NaN,,0
1956,992,45,16.49 ~ 17.52 ,17.52,JSM-100WP,NaN,NaN,,0
1200,547,70,--,--,Poly Folding TDC-F180/200P,NaN,NaN,,0
1956,992,50,11.9 ~ 13.9 ,13.9,AVE230-270P-24,NaN,NaN,,0
1200,527,35,--,--,SIM 90,NaN,NaN,,0
1650,992,40,--,--,SUN265P-20,NaN,NaN,,0
1650,990,35,18.3 ~ 18.98 ,18.98,FU300-310M Silk,NaN,NaN,,0
1650,990,35,18.3 ~ 18.98 ,18.98,260W 30V black solar panel,NaN,NaN,,0
1640,992,40,0.166,16.6,RNG-270P,NaN,NaN,,0
1482,676,35,--,--,Poly OP-120-140W,NaN,NaN,,0
1960,998,40,16.9 ~ 18.4 ,18.4,HiS-S330-360RI,NaN,NaN,,0
1640,992,35,16.29 ~ 16.9 ,16.9,Premium Poly/265-275W,NaN,NaN,,0
1650,997,40,16.7 ~ 18.2 ,18.2,Mono 275W-300W,NaN,NaN,,0
1640,990,35,16.32 ~ 17.24 ,17.24,SM 265-280-60P,NaN,NaN,,0
2000,992,40,16.75 ~ 17.52 ,17.52,AE SMM6_72-325-340W,NaN,NaN,,0
1485,665,34,14.18 ~ 15.19 ,15.19,ANORA 150-P,NaN,NaN,,0
1330,990,38,0.1519,15.19,AZM486P,NaN,NaN,,0
1956,992,50,18.4 ~ 18.67 ,18.67,ZT310-315S,NaN,NaN,,0
1640,992,40,15.4 ~ 16.6 ,16.6,PR-250-270M6-60,NaN,NaN,,0
1640,992,40,0.166,16.6,NES60-6-270P,NaN,NaN,,0
1262,1066,13.5,10.41 ~ 11.15 ,11.15,SS 140-150 BIPV,NaN,NaN,,0
2000,992,40,18.15 ~ 18.9 ,18.9,LNSF-360-375M Half-Cut Cell,NaN,NaN,,0
1680,1035,30,12.93 ~ 14.47 ,14.47,PV MU 60,NaN,NaN,,0
1964,1002,6,19.4 ~ 20.4 ,20.4,JW-ID76N Series,NaN,NaN,,0
1650,992,45,--,--,SM200P,NaN,NaN,,0
1190,540,2.5,--,--,Semi Flexible Solar Panel 100W,NaN,NaN,,0
1640,992,35,15.4 ~ 17.2 ,17.2,MS(250-280)M-60 Series,NaN,NaN,,0
1640,992,35,15.4 ~ 17.2 ,17.2,ESC-5D-190D,NaN,NaN,,0
1960,992,40,15.4 ~ 16.7 ,16.7,SP325P6-72 Series,NaN,NaN,,0
1662,992,42,--,--,Dhoop 230,NaN,NaN,,0
1200,992,40,--,--,MSP160-36P,NaN,NaN,,0
1634,986,null,16.15 ~ 18.01 ,18.01,MEPV Frameless 260-290W,NaN,NaN,,0
535,200,40,--,--,VSG-13W-F,NaN,NaN,,0
104,89,2.5,--,--,4.5V 1W solar panel,NaN,NaN,,0
1640,992,40,17.83 ~ 19.05 ,19.05,HTM290-310MA-60,NaN,NaN,,0
1650,992,40,0.155,15.5,NERP156×156−60−P SI 255W,NaN,NaN,,0
330,250,25,--,--,TRP 10W,NaN,NaN,,0
1956,992,50,--,--,SM290M,NaN,NaN,,0
1950,995,50,--,--,SSSP-230,NaN,NaN,,0
1658,986,7.4,--,--,Mono 215,NaN,NaN,,0
1480,670,35,--,--,YD-80P-140P,NaN,NaN,,0
1640,992,35,16.6 ~ 17.9 ,17.9,SWM280M156,NaN,NaN,,0
1476,670,33,14.16 ~ 14.66 ,14.66,S-140/145-36-3,NaN,NaN,,0
1974,1013,21.5,17.9 ~ 18.9 ,18.9,JW-D72N Series (Mini Frame),NaN,NaN,,0
1700,1000,40,--,--,HM 1095 Mono Black - 295W,NaN,NaN,,0
1700,1000,40,--,--,mini solar cell for education,NaN,NaN,,0
1203,679,42,12.24 ~ 14.08 ,14.08,MM 105 Series,NaN,NaN,,0
1650,992,50,14.1 ~ 15.3 ,15.3,THE60M(156),NaN,NaN,,0
1644,992,35,16 ~ 17.2 ,17.2,Poly Silver 260-280W,NaN,NaN,,0
820,540,30,--,--,Small Mono TDC-M60-65-36,NaN,NaN,,0
540,445,18,--,--,30W Poly,NaN,NaN,,0
1220,808,30,12.2 ~ 13.2 ,13.2,JC120/130W-18M,NaN,NaN,,0
310,65,2,--,--,Solar Panel 2.5W 10V,NaN,NaN,,0
1320,992,35,--,--,6M-220-240,NaN,NaN,,0
570,410,25,--,--,RS030W(S),NaN,NaN,,0
1580,808,45,14.1 ~ 16.4 ,16.4,ESPSA 180W-210W,NaN,NaN,,0
1634,986,6,14.9 ~ 16.4 ,16.4,FSPDA4 Dual-Glass 60 Cell (4BB),NaN,NaN,,0
1640,992,35,18.47 ~ 19.73 ,19.73,Eco Line M60/300-320,NaN,NaN,,0
1650,992,40,--,--,SAM 60/6 BLK Smart Gen,NaN,NaN,,0
1650,992,35,16.19 ~ 17.1 ,17.1,SRP-6PB-HV 265-280W,NaN,NaN,,0
1960,998,40,15.8 ~ 16.4 ,16.4,HiS-M310-320KI,NaN,NaN,,0
1956,992,45,15.5 ~ 17 ,17,PR-300-330M6-72,NaN,NaN,,0
1650,992,50,0.1625,16.25,IW 230,NaN,NaN,,0
1650,992,35,15.3 ~ 16.2 ,16.2,PD05 250-265,NaN,NaN,,0
1663,997,35,--,--,Sterling 255W Mono Black,NaN,NaN,,0
1580,808,40,--,--,210W 36V,NaN,NaN,,0
1580,808,40,--,--,HNM-FLX-100-250W,NaN,NaN,,0
1640,992,40,16.9 ~ 18.1 ,18.1,AS-M605B,NaN,NaN,,0
1480,673,35,0.1746,17.46,WT150W Poly,NaN,NaN,,0
835,670,30,--,--,SP80W-18V,NaN,NaN,,0
670,540,25,--,--,SPM-40-50PB301,NaN,NaN,,0
1198,537,35,--,--,SUN100M-12,NaN,NaN,,0
538,307,35,--,--,SIP 20,NaN,NaN,,0
1470,660,35,12.4 ~ 14.9 ,14.9,HT120-145P,NaN,NaN,,0
1693,993,4.5,17.3 ~ 18.1 ,18.1,Excellent Glass/Glass 290-305 PERC60 ...,NaN,NaN,,0
1640,980,40,--,--,SP195-225P-30,NaN,NaN,,0
1956,992,40,16.4 ~ 17.5 ,17.5,Mono 320-340,NaN,NaN,,0
1640,992,40,15.88 ~ 18.44 ,18.44,SDM-260-300,NaN,NaN,,0
1650,992,45,--,--,Poly 220-230,NaN,NaN,,0
1680,998,42,16 ~ 16.9 ,16.9,BIVA 60 - VSMB,NaN,NaN,,0
570,540,3,--,--,FS-50MS,NaN,NaN,,0
1956,992,40,0.1486,14.86,ERG-310P,NaN,NaN,,0
1041,1648,51,0.1905,19.05,M310-60-B GF NICER,NaN,NaN,,0
1956,992,35,0.175,17.5,NU-AH340H,NaN,NaN,,0
1956,987,40,16.86 ~ 17.9 ,17.9,JMP-M6-G 325-345,NaN,NaN,,0
1650,992,46,12.2 ~ 13.4 ,13.4,FUDA-200P-220P,NaN,NaN,,0
1650,992,46,12.2 ~ 13.4 ,13.4,SUN 5-120-36M,NaN,NaN,,0
610,510,30,--,--,Poly 45W,NaN,NaN,,0
1960,992,40,17.5 ~ 18.5 ,18.5,SP360M6-72 Series,NaN,NaN,,0
1960,992,40,17.5 ~ 18.5 ,18.5,FS250-285P-60,NaN,NaN,,0
120,30,2.6,--,--,VSP-0.45W,NaN,NaN,,0
992,716,35,--,--,PEL36P100,NaN,NaN,,0
null,null,null,null,null,SR300M-345M,NaN,NaN,,0
1954,990,50,14 ~ 15.5 ,15.5,KM(P) 270-300,NaN,NaN,,0
1956,992,40,16 ~ 17 ,17,FSPB5 72 Cell (5BB),NaN,NaN,,0
1650,992,40,--,--,KS220-260P-60,NaN,NaN,,0
1640,992,40,15.3 ~ 16.6 ,16.6,LSM660,NaN,NaN,,0
1330,990,35,0.1518,15.18,YH200W-24P,NaN,NaN,,0
1485,668,35,0.126,12.6,SL125TU-18P 156*156,NaN,NaN,,0
350,290,17,--,--,10W 18V Poly Solar Module,NaN,NaN,,0
1580,808,40,14.88 ~ 16.84 ,16.84,AE M5-72_190-215W,NaN,NaN,,0
1962,992,42,16.1 ~ 16.8 ,16.8,ASSPL72-156P,NaN,NaN,,0
1580,808,35,--,--,SSM-160-190P,NaN,NaN,,0
1480,673,35,0.1744,17.44,WT150 MONO,NaN,NaN,,0
1790,990,40,--,--,GSPV 285-315 156M66,NaN,NaN,,0
1580,808,35,18.3 ~ 18.75 ,18.75,ZT200-205S,NaN,NaN,,0
1580,808,35,18.3 ~ 18.75 ,18.75,RD240TU-30MD,NaN,NaN,,0
1662,992,42,--,--,SS-250(20V),NaN,NaN,,0
1200,550,35,12.12 ~ 15.15 ,15.15,AE P5-36_80-100W,NaN,NaN,,0
1640,990,35,0.154,15.4,JTS 250W,NaN,NaN,,0
1961,995,50,13.3 ~ 14.9 ,14.9,EBS-P6T255-285,NaN,NaN,,0
1320,990,35,--,--,KS170-210P-48,NaN,NaN,,0
765,660,25,--,--,KN080M,NaN,NaN,,0
1190,540,35,--,--,SSSP-80,NaN,NaN,,0
850,550,35,--,--,JJ60DD,NaN,NaN,,0
1200,550,35,--,--,KL-70-90W-M,NaN,NaN,,0
1650,990,40,--,--,SP275W-30V,NaN,NaN,,0
1580,808,35,15.6 ~ 16 ,16,Sola Standard Model-C,NaN,NaN,,0
1580,808,35,15.6 ~ 16 ,16,AGP06003-12075,NaN,NaN,,0
1650,990,38,0.1775,17.75,HS-MB2/290,NaN,NaN,,0
650,665,35,--,--,DS-A36-60,NaN,NaN,,0
1649,990,35,--,--,PNX-230-250,NaN,NaN,,0
150,92,4.5,--,--,1.5w 5v OEM Solar Panel,NaN,NaN,,0
360,306,28,--,--,Mono OP-5-15W,NaN,NaN,,0
360,306,28,--,--,Mono 10-300,NaN,NaN,,0
1685,1000,32,18.1 ~ 19 ,19,Q.PEAK DUO BLK-G5 305 - 320,NaN,NaN,,0
1685,1000,32,18.1 ~ 19 ,19,RD50TU-18MD,NaN,NaN,,0
1270,660,25,14.3 ~ 14.9 ,14.9,BP-M120-125P-17b,NaN,NaN,,0
1650,992,40,18.02 ~ 18.94 ,18.94,DM310-M156-60BK(40),NaN,NaN,,0
1083,796,46,--,--,OGRE 130,NaN,NaN,,0
1580,805,35,--,--,THS-M200,NaN,NaN,,0
1960,991,35,16.7 ~ 17.7 ,17.7,Q.PRIME L-G5 325 - 345,NaN,NaN,,0
285,185,18,--,--,Small Mono TDC-M5-36,NaN,NaN,,0
1580,808,35,--,--,Mono OP-155-165W,NaN,NaN,,0
1476,670,35,--,--,SUN150M-12,NaN,NaN,,0
1580,808,35,--,--,M72PCS-175-185W,NaN,NaN,,0
125,135,4.5,--,--,9V 1.7W Photovoltaic Solar Module, te...,NaN,,0
390,325,4.6,--,--,VSG-20W,NaN,NaN,,0
540,360,25,--,--,HX-20W,NaN,NaN,,0
1640,990,35,--,--,THS-M250,NaN,NaN,,0
1580,808,35,15.6 ~ 17.2 ,17.2,JHX-200-220M72,NaN,NaN,,0
1580,808,35,15.6 ~ 17.2 ,17.2,HS275P-30,NaN,NaN,,0
1645,990,35,15.96 ~ 17.19 ,17.19,X-STYLE XP460I+35 260-280Wp,NaN,NaN,,0
1700,1000,35,13.5 ~ 14.4 ,14.4,Excellent Glass/Glass 230-245 PERC48,NaN,NaN,,0
1962,992,46,--,--,KDM 285WP-305WP,NaN,NaN,,0
540,280,23,--,--,MAX-M020M,NaN,NaN,,0
1480,680,35,--,--,YB156P36-150W,NaN,NaN,,0
1492,672,37,10.5 ~ 14.5 ,14.5,RZMP-130-T,NaN,NaN,,0
1580,808,46,14.5 ~ 15.7 ,15.7,KM185-200,NaN,NaN,,0
1960,992,42,14.11 ~ 15.68 ,15.68,HS 270-300S,NaN,NaN,,0
1650,992,25,16.2 ~ 16.8 ,16.8,STP265-275 - 20/Wfl,NaN,NaN,,0
140,89,2.2,--,--,TS-PS5V1.50W,NaN,NaN,,0
140,89,2.2,--,--,SYK30-18M,NaN,NaN,,0
1476,671,35,--,--,SFP 130W-145W,NaN,NaN,,0
1960,992,40,18.3 ~ 18.8 ,18.8,STP355S-365S - 24/Vfw,NaN,NaN,,0
1485,666,40,10.11 ~ 14.16 ,14.16,SW6C-100-140,NaN,NaN,,0
1580,808,35,--,--,YD-160M-190M,NaN,NaN,,0
1640,992,35,15.98 ~ 17.21 ,17.21,SA260-280-60P,NaN,NaN,,0
1661,996,34,15.5 ~ 18 ,18,AM 60 260-300,NaN,NaN,,0
700,510,30,--,--,SMTP-50,NaN,NaN,,0
1640,980,5.5,0.185,18.5,PVIN300,NaN,NaN,,0
1175,640,3,--,--,SS-S120WP,NaN,NaN,,0
1324,992,40,13.74 ~ 15.27 ,15.27,MEPV 180-200W,NaN,NaN,,0
1640,992,40,15.37 ~ 17.52 ,17.52,EE-STE-6P,NaN,NaN,,0
2022,1132,1122,13.85 ~ 16.67 ,16.67,MM 300 Series,NaN,NaN,,0
1968,992,6,17.42 ~ 18.44 ,18.44,HTM340-360DMA-72,NaN,NaN,,0
1640,992,35,18.68 ~ 19.4 ,19.4,ZT260-270S,NaN,NaN,,0
1215,800,35,--,--,TS-S 110-130W,NaN,NaN,,0
1950,990,50,--,--,YD-250P-290P,NaN,NaN,,0
1674,992,35,16.5 ~ 17.41 ,17.41,AE SMM6-60_270-285W,NaN,NaN,,0
1485,980,40,--,--,SP180-190P-27,NaN,NaN,,0
1485,980,40,--,--,CDT,NaN,NaN,,0
1660,990,35,--,--,220-250W,NaN,NaN,,0
1948,982,42,15.16 ~ 17.25 ,17.25,HS 290-330 ME-V01,NaN,NaN,,0
1637,987,35,14.85 ~ 16.1 ,16.1,JMP-P6-G 240-260,NaN,NaN,,0
1475,670,35,--,--,Poly 160,NaN,NaN,,0
250,170,18,--,--,5W 12V Monocrystalline Solar Module,NaN,NaN,,0
1485,668,35,0.1512,15.12,SL150TU-18MD,NaN,NaN,,0
135,110,2.2,--,--,TS-PS9V1.53W,NaN,NaN,,0
1956,992,40,17.52 ~ 18.57 ,18.57,Eagle 1500V 72 340-360W,NaN,NaN,,0
1485,670,40,0.1553,15.53,SR150P,NaN,NaN,,0
1482,992,50,12.2 ~ 15.3 ,15.3,THM 180P-225P-54,NaN,NaN,,0
1950,990,50,--,--,YD-250M-290M,NaN,NaN,,0
1664,998,32,16.6 ~ 17.8 ,17.8,PANDA BIFACIAL 60CF,NaN,NaN,,0
622,535,null,--,--,C50JB,NaN,NaN,,0
1640,992,35,16.6 ~ 16.9 ,16.9,ND-AK270-275,NaN,NaN,,0
1650,992,40,--,--,SUN280M-24,NaN,NaN,,0
1956,992,50,--,--,M72PCS-290-305W,NaN,NaN,,0
720,540,2,--,--,60W Semi Flexible Sunpower Solar Panel,NaN,NaN,,0
1593,990,36,0.146,14.6,HTS-230,NaN,NaN,,0
1654,989,40,16.5 ~ 16.8 ,16.8,ND-RJ270-275,NaN,NaN,,0
85,85,1.8,--,--,1.2W 6.2V Sunpower Solar Panel,NaN,NaN,,0
1956,992,45,--,--,JS295-315P72,NaN,NaN,,0
1640,992,35,--,--,GSPV250M,NaN,NaN,,0
551,666,34,--,--,SS-50(12V),NaN,NaN,,0
1140,400,5,--,--,Foldable Solar Panel 80W,NaN,NaN,,0
1640,992,40,0.154,15.4,res-PV++ Projekt,NaN,NaN,,0
1200,560,35,12.6 ~ 16.4 ,16.4,PLS125*125-36-M,NaN,NaN,,0
1968,992,6,0.169,16.9,NES72-6-330P(DG),NaN,NaN,,0
1575,1080,46,11.74 ~ 14.01 ,14.01,96125,NaN,NaN,,0
1225,546,25,11.15 ~ 13.38 ,13.38,MM 80 Series-36,NaN,NaN,,0
1650,990,40,--,--,MUL-6M-220-250M-60,NaN,NaN,,0
1956,992,40,16 ~ 16.8 ,16.8,INE-310-325-6MA,NaN,NaN,,0
520,340,23,--,--,BG 18-20-18P,NaN,NaN,,0
1640,992,40,15.2 ~ 16.4 ,16.4,Poly-60,NaN,NaN,,0
1640,992,40,15.2 ~ 16.4 ,16.4,E.FLEX,NaN,NaN,,0
1080,670,35,--,--,MAX-M090P,NaN,NaN,,0
1480,670,30,--,--,RS100-130W(P),NaN,NaN,,0
1250,670,35,--,--,KF120P-12,NaN,NaN,,0
1580,808,40,14.88 ~ 16.45 ,16.45,MSM 190-210AS-36,NaN,NaN,,0
1640,990,35,17.25 ~ 19.09 ,19.09,Sun 60M,NaN,NaN,,0
1648,990,35,17.8 ~ 19 ,19,AstroAtom CHSM6610M(BL),NaN,NaN,,0
770,665,30,--,--,Poly 70-75,NaN,NaN,,0
1580,808,35,13.32 ~ 16.06 ,16.06,KL170-205W-72M,NaN,NaN,,0
136,60,4.6,--,--,VSG-1.2W,NaN,NaN,,0
450,670,30,--,--,HN-PO-040W36,NaN,NaN,,0
1580,808,35,14.9 ~ 16.8 ,16.8,KPV-M 190~215,NaN,NaN,,0
1956,992,40,0.165,16.5,GBR-320,NaN,NaN,,0
1480,660,35,--,--,NZX-P140W,NaN,NaN,,0
1800,420,22,0.18,18,Interlocking SLIM 109W 22mm,NaN,NaN,,0
1200,992,35,16.2 ~ 18 ,18,P6-170-190,NaN,NaN,,0
