Height,Width,Thickness,Efficiency,Cleaned Efficiency,Model,N/A,N/A,N/A,Power output
1082,796,35,13.9,13.9,CR120,NaN,NaN,,379.2628
1170,670,35,0.1524,15.24,GS-120P,NaN,NaN,,378.4694
1190,660,25,13.3 ~ 15.2 ,15.2,BP-M105-120P-17b,NaN,NaN,,378.1984
1130,680,35,14.84 ~ 15.53 ,15.53,110-130W 36cells,NaN,NaN,,378.0454
1000,670,35,0.1781,17.81,WT100W  Poly,NaN,NaN,,378.0279
1166,992,50,0.1547,15.47,PK 170-42,NaN,NaN,,377.9153
1155,665,34,14.2 ~ 15.39 ,15.39,DS 120-130,NaN,NaN,,374.479
1064,1094,29,12.7 ~ 15.2 ,15.2,AETERNUM,NaN,NaN,,373.6771
1120,665,35,13.67 ~ 15.79 ,15.79,HT-P-70-115,NaN,NaN,,372.5692
1020,670,30,0.172,17.2,P6-100W,NaN,NaN,,372.3819
1020,670,30,0.172,17.2,Poly 20-35W,NaN,NaN,,372.3819
1020,670,30,0.172,17.2,45-300W 72cells,NaN,NaN,,372.3819
1191,1067,35,13.8,13.8,SCN-170/175-72MS,NaN,NaN,,370.3814
1191,1067,35,13.8,13.8,TH-170/175-72MS,NaN,NaN,,370.3814
1191,1067,46.5,13.8,13.8,SDM-170/175-72MS,NaN,NaN,,370.3814
1190,1067,46.5,13.8,13.8,TSM(8x9) 175,NaN,NaN,,370.0704
1183,1057,40,14,14,COE-175M,NaN,NaN,,369.7274
1195,1066,46,13.7,13.7,SDM-170/175-72MS,NaN,NaN,,368.5866
1120,670,30,14.9 ~ 15.5 ,15.5,MY125~130M6-36,NaN,NaN,,368.4764
1190,540,35,0.18,18,EJ-SP100P,NaN,NaN,,366.4362
1000,670,30,16.8 ~ 17.2 ,17.2,SLS095-100P,NaN,NaN,,365.0803
1130,670,30,14.5 ~ 15.2 ,15.2,SN-P110-115,NaN,NaN,,364.5709
1120,665,30,14.77 ~ 15.44 ,15.44,SKT110-115P-12,NaN,NaN,,364.3109
670,1120,30,14.7 ~ 15.3 ,15.3,SN-M110-115,NaN,NaN,,363.7219
1120,670,30,14.7 ~ 15.3 ,15.3,MY110~115P6-36,NaN,NaN,,363.7219
1133,668,null,0.151,15.1,RT Mega 4,NaN,NaN,,362.05
1120,990,35,0.154,15.4,JST170M(60),NaN,NaN,,360.635
1120,990,35,0.154,15.4,JST170P(60),NaN,NaN,,360.635
1133,984,null,0.153,15.3,RT Mega 5,NaN,NaN,,360.2553
1191,1067,35,13.4,13.4,SCN-170/170-72MS,NaN,NaN,,359.6457
1191,1067,35,13.4,13.4,TH-170/170-72MS,NaN,NaN,,359.6457
1191,1067,46.5,13.4,13.4,SDM-170/170-72MS,NaN,NaN,,359.6457
1190,1067,46.5,13.4,13.4,TSM(8x9) 170,NaN,NaN,,359.3437
1183,1057,40,13.6,13.6,COE-170M,NaN,NaN,,359.1638
992,992,35,14.23 ~ 17.27 ,17.27,SL6M36-150W-170W,NaN,NaN,,358.9299
1178,994,45,14.5,14.5,CHSM-160M(170),NaN,NaN,,358.5862
1195,1066,46,13.3,13.3,SDM-170/170-72MS,NaN,NaN,,357.825
1050,670,30,0.16,16,Solar Panel 014,NaN,NaN,,356.5901
855,546,2,0.24,24,Solbianflex SP 78,NaN,NaN,,354.9402
1020,670,30,13.37 ~ 16.34 ,16.34,SHT90-110P,NaN,NaN,,353.7628
1151,676,35,0.1434,14.34,Mono SPT12P100,NaN,NaN,,353.4731
1151,676,35,0.1434,14.34,Poly SPT12P100,NaN,NaN,,353.4731
1020,670,30,14.72 ~ 16.2 ,16.2,BW-SM100-110M24,NaN,NaN,,350.7318
1020,670,30,0.162,16.2,ERG-100P,NaN,NaN,,350.7318
1070,670,35,0.154,15.4,ZT100S,NaN,NaN,,349.7554
1195,1066,46,13,13,SDM-170/165-72MS,NaN,NaN,,349.7537
